,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,pred_4
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,6,8,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.832146012
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.65256365
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.863418872
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.568638098
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.810015603
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.760329159
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.590424966
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,5,1,4,4,5,5,8,3,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.867743669
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.86039454
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.792335537
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,7,4,7,2,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.869163764
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.760478634
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.627856354
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.893562563
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.746146942
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.778736471
32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.516408788
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,6,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.919563668
34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,6,8,5,1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.822993968
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.829513345
36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.813661668
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.640596136
38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.510505199
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.598368345
40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,8,5,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.797321741
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.703319459
42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,6,8,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.886001475
43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.908560975
44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.494464118
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.78599117
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,4,7,4,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.862297445
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,6,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.905899591
48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,7,4,7,2,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.854951607
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.817285529
50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,7,4,7,2,5,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.843806324
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.670269685
52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.823143972
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.784368675
54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,7,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.877325126
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,2,5,8,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.829021454
56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.684718731
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,6,8,5,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.823274293
58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,8,8,5,1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.709325958
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.663146892
60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.839630821
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,1,8,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.767871418
62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,8,5,1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.714809851
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.884308325
64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.751273833
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,1,4,4,5,5,8,3,7,4,7,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.753397388
66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,8,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.71143117
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,1,4,4,5,5,8,3,7,4,7,2,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.783314624
68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,6,8,5,1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.809991315
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.570122993
70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,5,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.754067866
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.748776059
72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,6,4,5,1,4,4,5,5,8,3,7,4,7,2,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.903292825
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,3,7,4,5,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.792322257
74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,4,7,2,5,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.862409594
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,8,5,1,4,4,5,5,8,3,7,4,3,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.774592374
76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.672858205
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.807991082
78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,7,4,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.701085418
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.690554414
80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.731497625
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,6,8,1,1,4,4,5,5,8,3,7,4,7,2,5,8,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.878147325
82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,4,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.822091035
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,4,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.527968838
84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,6,7,5,1,4,4,5,4,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.871552959
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,7,5,1,4,4,5,4,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.876970728
86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,4,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.828340873
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,5,1,4,4,5,4,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.747832515
88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,4,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.839513039
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,4,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.815346975
90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,8,1,1,4,4,5,4,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.729049155
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.662803168
92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,5,1,4,4,5,5,8,3,7,4,7,2,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.888305305
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.791767389
94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,3,6,5,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.881537879
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,3,6,1,1,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.798848864
96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,8,8,1,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.731515302
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,1,7,1,4,4,5,5,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.859851393
98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,1,4,4,5,5,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.851818344
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.674946323
100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,1,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.681048646
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,1,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.681204595
102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,5,1,4,4,5,5,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.875898977
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,1,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.745292066
104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,4,4,5,5,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.705145422
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,4,4,5,5,8,3,7,4,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.787816284
106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,1,5,1,4,4,5,5,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.738887342
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,5,1,4,4,5,5,8,3,7,4,7,2,5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.882175132
108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,5,1,4,4,5,5,8,3,7,4,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.829818419
109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,1,5,1,4,4,5,5,8,3,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.728176056
110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.602787881
111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,2,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.840178373
112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,4,4,5,5,8,3,7,4,7,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.796146061
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,5,8,3,7,4,7,5,5,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.731746036
114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,5,1,4,4,5,5,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.649304913
115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,4,4,5,3,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.675124829
116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,1,7,4,4,5,4,8,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.607514042
117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,5,4,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.656765654
118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,7,4,4,5,4,8,3,7,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.601754875
119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,4,1,7,4,4,5,5,8,3,7,4,7,4,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.806614481
120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,6,4,5,1,4,4,5,5,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.750111245
121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,5,1,4,4,5,5,8,3,7,1,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.804173514
122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,6,4,5,1,4,4,5,5,8,3,7,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.790847335
123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,7,4,1,1,4,4,5,5,8,3,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.656399411
124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,5,5,8,3,7,4,7,5,5,8,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.796831307
125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,1,4,4,5,5,8,3,7,4,7,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.765960202
